Video, Frame ID, matches, match percent, time_ms, patch
../Data/Video_Data/Solo_Pillar.mkv, 39, 7, 58.3333, 0, 10
../Data/Video_Data/Solo_Pillar.mkv, 40, 8, 66.6667, 0, 10
../Data/Video_Data/Solo_Pillar.mkv, 41, 6, 50, 0, 10
../Data/Video_Data/Solo_Pillar.mkv, 42, 6, 54.5455, 0, 10
../Data/Video_Data/Solo_Pillar.mkv, 43, 7, 77.7778, 0, 10
../Data/Video_Data/Solo_Pillar.mkv, 44, 8, 57.1429, 0, 10
../Data/Video_Data/Solo_Pillar.mkv, 45, 7, 70, 0, 10
../Data/Video_Data/Solo_Pillar.mkv, 46, 5, 50, 0, 10
../Data/Video_Data/Solo_Pillar.mkv, 47, 3, 42.8571, 0, 10
../Data/Video_Data/Solo_Pillar.mkv, 48, 7, 87.5, 0, 10
../Data/Video_Data/Solo_Pillar.mkv, 49, 9, 81.8182, 0, 10
../Data/Video_Data/Solo_Pillar.mkv, 50, 7, 53.8462, 0, 10
../Data/Video_Data/Solo_Pillar.mkv, 51, 7, 87.5, 0, 10
../Data/Video_Data/Solo_Pillar.mkv, 52, 4, 57.1429, 1, 10
../Data/Video_Data/Solo_Pillar.mkv, 53, 4, 80, 0, 10
../Data/Video_Data/Solo_Pillar.mkv, 54, 5, 83.3333, 0, 10
../Data/Video_Data/Solo_Pillar.mkv, 55, 8, 88.8889, 1, 10
../Data/Video_Data/Solo_Pillar.mkv, 56, 6, 75, 0, 10
../Data/Video_Data/Solo_Pillar.mkv, 57, 4, 57.1429, 0, 10
../Data/Video_Data/Solo_Pillar.mkv, 58, 6, 100, 0, 10
../Data/Video_Data/Solo_Pillar.mkv, 59, 5, 71.4286, 0, 10
../Data/Video_Data/Solo_Pillar.mkv, 60, 4, 57.1429, 0, 10
../Data/Video_Data/Solo_Pillar.mkv, 61, 3, 50, 0, 10
../Data/Video_Data/Solo_Pillar.mkv, 62, 3, 60, 0, 10
../Data/Video_Data/Solo_Pillar.mkv, 63, 4, 66.6667, 0, 10
../Data/Video_Data/Solo_Pillar.mkv, 64, 4, 57.1429, 0, 10
../Data/Video_Data/Solo_Pillar.mkv, 65, 4, 66.6667, 0, 10
../Data/Video_Data/Solo_Pillar.mkv, 66, 4, 57.1429, 1, 10
