Video, Frame ID, Features Found, Features in pillars, percentage match, time taken to find features (ms), diffusivity
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,36, 897, 838, 93.4225, 444, DIFF_WEICKERT
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,37, 861, 775, 90.0116, 446, DIFF_WEICKERT
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,38, 714, 702, 98.3193, 440, DIFF_WEICKERT
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,39, 260, 229, 88.0769, 450, DIFF_WEICKERT
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,40, 164, 127, 77.439, 439, DIFF_WEICKERT
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,41, 82, 54, 65.8537, 447, DIFF_WEICKERT
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,42, 135, 125, 92.5926, 452, DIFF_WEICKERT
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,43, 143, 66, 46.1538, 443, DIFF_WEICKERT
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,44, 2690, 1587, 58.9963, 427, DIFF_WEICKERT
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,45, 1646, 1001, 60.8141, 427, DIFF_WEICKERT
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,46, 1075, 582, 54.1395, 436, DIFF_WEICKERT
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,47, 793, 521, 65.6999, 448, DIFF_WEICKERT
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,48, 622, 529, 85.0482, 450, DIFF_WEICKERT
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,49, 1180, 1083, 91.7797, 441, DIFF_WEICKERT
