Video, Frame ID, Features Found, Features in pillars, percentage match, time taken to find features (ms), threshold
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,6, 6, 6, 100, 359, 0.001000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,7, 3, 3, 100, 356, 0.001000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,8, 5, 5, 100, 338, 0.001000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,9, 3, 3, 100, 351, 0.001000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,10, 8, 8, 100, 354, 0.001000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,11, 16, 16, 100, 362, 0.001000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,12, 5, 5, 100, 359, 0.001000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,13, 12, 2, 16.6667, 359, 0.001000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,14, 3, 3, 100, 351, 0.001000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,15, 0, 0, -1, 354, 0.001000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,16, 0, 0, -1, 342, 0.001000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,17, 0, 0, -1, 358, 0.001000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,18, 0, 0, -1, 362, 0.001000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,19, 8, 1, 12.5, 362, 0.001000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,20, 1, 1, 100, 365, 0.001000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,21, 5, 3, 60, 348, 0.001000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,22, 22, 22, 100, 356, 0.001000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,23, 130, 130, 100, 347, 0.001000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,24, 109, 106, 97.2477, 339, 0.001000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,25, 71, 71, 100, 347, 0.001000
