Video, Frame ID, Features Found, Features in pillars, percentage match, time taken to find features (ms), diffusivity
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,46, 1151, 1026, 89.1399, 448, DIFF_WEICKERT
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,47, 975, 797, 81.7436, 447, DIFF_WEICKERT
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,48, 718, 478, 66.5738, 455, DIFF_WEICKERT
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,49, 607, 325, 53.542, 459, DIFF_WEICKERT
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,0, 6847, 78, 1.13919, 362, DIFF_CHARBONNIER
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,1, 6328, 51, 0.805942, 357, DIFF_CHARBONNIER
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,2, 7044, 58, 0.823396, 357, DIFF_CHARBONNIER
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,3, 7619, 70, 0.918756, 358, DIFF_CHARBONNIER
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,4, 6252, 83, 1.32758, 359, DIFF_CHARBONNIER
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,5, 4971, 96, 1.9312, 365, DIFF_CHARBONNIER
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,6, 2006, 155, 7.72682, 345, DIFF_CHARBONNIER
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,7, 3117, 243, 7.79596, 352, DIFF_CHARBONNIER
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,8, 3919, 267, 6.81296, 350, DIFF_CHARBONNIER
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,9, 1666, 197, 11.8247, 351, DIFF_CHARBONNIER
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,10, 968, 477, 49.2769, 354, DIFF_CHARBONNIER
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,11, 1818, 588, 32.3432, 356, DIFF_CHARBONNIER
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,12, 1349, 532, 39.4366, 354, DIFF_CHARBONNIER
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,13, 820, 394, 48.0488, 355, DIFF_CHARBONNIER
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,14, 506, 381, 75.2964, 355, DIFF_CHARBONNIER
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,15, 535, 426, 79.6262, 351, DIFF_CHARBONNIER
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,16, 320, 284, 88.75, 356, DIFF_CHARBONNIER
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,17, 229, 207, 90.393, 352, DIFF_CHARBONNIER
