Video, Frame ID, matches, match percent, time_ms, descriptor_channels
../Data/Video_Data/Tank_With_Pipe_2.mkv, 53, -1, -1, -1, 1
../Data/Video_Data/Tank_With_Pipe_2.mkv, 54, -1, -1, -1, 1
../Data/Video_Data/Tank_With_Pipe_2.mkv, 55, -1, -1, -1, 1
../Data/Video_Data/Tank_With_Pipe_2.mkv, 56, -1, -1, -1, 1
../Data/Video_Data/Tank_With_Pipe_2.mkv, 57, -1, -1, -1, 1
../Data/Video_Data/Tank_With_Pipe_2.mkv, 58, -1, -1, -1, 1
../Data/Video_Data/Tank_With_Pipe_2.mkv, 59, -1, -1, -1, 1
../Data/Video_Data/Tank_With_Pipe_2.mkv, 60, -1, -1, -1, 1
../Data/Video_Data/Tank_With_Pipe_2.mkv, 61, -1, -1, -1, 1
../Data/Video_Data/Tank_With_Pipe_2.mkv, 62, -1, -1, -1, 1
../Data/Video_Data/Tank_With_Pipe_2.mkv, 63, -1, -1, -1, 1
../Data/Video_Data/Tank_With_Pipe_2.mkv, 64, -1, -1, -1, 1
../Data/Video_Data/Tank_With_Pipe_2.mkv, 65, -1, -1, -1, 1
../Data/Video_Data/Tank_With_Pipe_2.mkv, 66, -1, -1, -1, 1
../Data/Video_Data/Tank_With_Pipe_2.mkv, 67, -1, -1, -1, 1
../Data/Video_Data/Tank_With_Pipe_2.mkv, 68, -1, -1, -1, 1
../Data/Video_Data/Tank_With_Pipe_2.mkv, 69, -1, -1, -1, 1
../Data/Video_Data/Tank_With_Pipe_2.mkv, 70, -1, -1, -1, 1
../Data/Video_Data/Tank_With_Pipe_2.mkv, 71, -1, -1, -1, 1
../Data/Video_Data/Tank_With_Pipe_2.mkv, 72, -1, -1, -1, 1
../Data/Video_Data/Tank_With_Pipe_2.mkv, 73, -1, -1, -1, 1
../Data/Video_Data/Tank_With_Pipe_2.mkv, 74, -1, -1, -1, 1
../Data/Video_Data/Tank_With_Pipe_2.mkv, 75, -1, -1, -1, 1
../Data/Video_Data/Tank_With_Pipe_2.mkv, 76, -1, -1, -1, 1
../Data/Video_Data/Tank_With_Pipe_2.mkv, 77, -1, -1, -1, 1
../Data/Video_Data/Tank_With_Pipe_2.mkv, 78, -1, -1, -1, 1
../Data/Video_Data/Tank_With_Pipe_2.mkv, 79, -1, -1, -1, 1
../Data/Video_Data/Tank_With_Pipe_2.mkv, 80, -1, -1, -1, 1
../Data/Video_Data/Tank_With_Pipe_2.mkv, 81, -1, -1, -1, 1
../Data/Video_Data/Tank_With_Pipe_2.mkv, 82, -1, -1, -1, 1
../Data/Video_Data/Tank_With_Pipe_2.mkv, 83, -1, -1, -1, 1
../Data/Video_Data/Tank_With_Pipe_2.mkv, 84, -1, -1, -1, 1
../Data/Video_Data/Tank_With_Pipe_2.mkv, 85, -1, -1, -1, 1
../Data/Video_Data/Tank_With_Pipe_2.mkv, 86, -1, -1, -1, 1
../Data/Video_Data/Tank_With_Pipe_2.mkv, 87, -1, -1, -1, 1
../Data/Video_Data/Tank_With_Pipe_2.mkv, 88, -1, -1, -1, 1
../Data/Video_Data/Tank_With_Pipe_2.mkv, 89, -1, -1, -1, 1
../Data/Video_Data/Tank_With_Pipe_2.mkv, 90, -1, -1, -1, 1
../Data/Video_Data/Tank_With_Pipe_2.mkv, 91, -1, -1, -1, 1
../Data/Video_Data/Tank_With_Pipe_2.mkv, 92, -1, -1, -1, 1
../Data/Video_Data/Tank_With_Pipe_2.mkv, 93, -1, -1, -1, 1
../Data/Video_Data/Tank_With_Pipe_2.mkv, 94, -1, -1, -1, 1
../Data/Video_Data/Tank_With_Pipe_2.mkv, 95, -1, -1, -1, 1
../Data/Video_Data/Tank_With_Pipe_2.mkv, 96, -1, -1, -1, 1
../Data/Video_Data/Tank_With_Pipe_2.mkv, 97, -1, -1, -1, 1
../Data/Video_Data/Tank_With_Pipe_2.mkv, 98, -1, -1, -1, 1
../Data/Video_Data/Tank_With_Pipe_2.mkv, 99, -1, -1, -1, 1
../Data/Video_Data/Tank_With_Pipe_2.mkv, 0, -1, -1, -1, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 1, -1, -1, -1, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 2, -1, -1, -1, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 3, -1, -1, -1, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 4, -1, -1, -1, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 5, -1, -1, -1, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 6, -1, -1, -1, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 7, -1, -1, -1, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 8, -1, -1, -1, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 9, -1, -1, -1, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 10, -1, -1, -1, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 11, -1, -1, -1, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 12, -1, -1, -1, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 13, -1, -1, -1, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 14, -1, -1, -1, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 15, -1, -1, -1, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 16, -1, -1, -1, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 17, -1, -1, -1, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 18, -1, -1, -1, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 19, -1, -1, -1, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 20, -1, -1, -1, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 21, -1, -1, -1, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 22, -1, -1, -1, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 23, -1, -1, -1, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 24, -1, -1, -1, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 25, -1, -1, -1, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 26, -1, -1, -1, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 27, -1, -1, -1, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 28, -1, -1, -1, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 29, -1, -1, -1, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 30, -1, -1, -1, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 31, -1, -1, -1, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 32, -1, -1, -1, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 33, -1, -1, -1, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 34, -1, -1, -1, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 35, -1, -1, -1, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 36, -1, -1, -1, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 37, -1, -1, -1, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 38, -1, -1, -1, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 39, -1, -1, -1, 2
