Video, Frame ID, hole count, invalid_percentage, speckle_percentage, incomplete, time_spent_ms,  number_of_disparities
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,6, 3451, 16.1567, 91.9847, 1, 146, 32
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,7, 3431, 15.786, 90.8975, 1, 147, 32
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,8, 3448, 15.7357, 93.0238, 1, 146, 32
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,9, 3371, 15.4493, 92.8948, 1, 146, 32
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,10, 3454, 15.3898, 93.8215, 1, 152, 32
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,11, 3652, 15.226, 93.954, 1, 154, 32
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,12, 3488, 15.6916, 93.1294, 1, 154, 32
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,13, 3540, 15.8167, 93.6951, 1, 157, 32
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,14, 3516, 16.0398, 93.8252, 1, 159, 32
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,15, 3620, 16.039, 93.6211, 1, 159, 32
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,16, 3482, 16.0019, 93.1029, 1, 160, 32
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,17, 3578, 16.2199, 93.3862, 1, 161, 32
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,18, 3697, 15.8446, 94.1419, 1, 160, 32
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,19, 3558, 16.0099, 92.0247, 1, 160, 32
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,20, 3699, 16.0331, 93.8032, 1, 160, 32
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,21, 3671, 15.6379, 93.6639, 1, 159, 32
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,22, 3717, 15.5424, 93.443, 1, 159, 32
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,23, 3700, 15.8481, 93.5995, 1, 159, 32
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,24, 3656, 15.8272, 94.2931, 1, 159, 32
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,25, 3683, 16.0577, 92.7712, 1, 185, 32
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,26, 3668, 15.9738, 93.2377, 1, 161, 32
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,27, 3721, 16.0406, 93.9493, 1, 161, 32
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,28, 3630, 16.298, 93.4524, 1, 161, 32
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,29, 3646, 16.1132, 93.2101, 1, 186, 32
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,30, 3738, 16.2457, 93.8318, 1, 187, 32
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,31, 3744, 15.8897, 92.5444, 1, 162, 32
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,32, 3648, 16.2814, 94.567, 1, 204, 32
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,33, 3647, 16.2199, 93.1274, 1, 165, 32
