Video, Frame ID, matches, match percent, time_ms, descriptor_size
../Data/Video_Data/Solo_Pillar.mkv, 95, 42, 64.6154, 0, 0
../Data/Video_Data/Solo_Pillar.mkv, 96, 42, 76.3636, 0, 0
../Data/Video_Data/Solo_Pillar.mkv, 97, 43, 71.6667, 0, 0
../Data/Video_Data/Solo_Pillar.mkv, 98, 41, 69.4915, 0, 0
../Data/Video_Data/Solo_Pillar.mkv, 99, 44, 67.6923, 0, 0
../Data/Video_Data/Solo_Pillar.mkv, 0, -1, -1, -1, 1
../Data/Video_Data/Solo_Pillar.mkv, 1, 2, 0.938967, 0, 1
../Data/Video_Data/Solo_Pillar.mkv, 2, 2, 0.952381, 0, 1
../Data/Video_Data/Solo_Pillar.mkv, 3, 2, 0.990099, 0, 1
../Data/Video_Data/Solo_Pillar.mkv, 4, 2, 0.934579, 0, 1
../Data/Video_Data/Solo_Pillar.mkv, 5, 2, 0.947867, 0, 1
../Data/Video_Data/Solo_Pillar.mkv, 6, 2, 0.995025, 0, 1
../Data/Video_Data/Solo_Pillar.mkv, 7, 2, 0.961538, 0, 1
../Data/Video_Data/Solo_Pillar.mkv, 8, 2, 1, 0, 1
../Data/Video_Data/Solo_Pillar.mkv, 9, 2, 1.01523, 0, 1
../Data/Video_Data/Solo_Pillar.mkv, 10, 2, 1.04712, 0, 1
../Data/Video_Data/Solo_Pillar.mkv, 11, 2, 1.0582, 0, 1
../Data/Video_Data/Solo_Pillar.mkv, 12, 2, 1.03627, 0, 1
../Data/Video_Data/Solo_Pillar.mkv, 13, 2, 1.03093, 0, 1
../Data/Video_Data/Solo_Pillar.mkv, 14, 2, 1.14286, 0, 1
../Data/Video_Data/Solo_Pillar.mkv, 15, 2, 1.10497, 0, 1
../Data/Video_Data/Solo_Pillar.mkv, 16, 2, 1.12994, 0, 1
../Data/Video_Data/Solo_Pillar.mkv, 17, 2, 1.16959, 0, 1
../Data/Video_Data/Solo_Pillar.mkv, 18, 2, 1.13636, 0, 1
../Data/Video_Data/Solo_Pillar.mkv, 19, 2, 1.08108, 0, 1
../Data/Video_Data/Solo_Pillar.mkv, 20, 2, 1.1236, 0, 1
../Data/Video_Data/Solo_Pillar.mkv, 21, 2, 1.07527, 0, 1
../Data/Video_Data/Solo_Pillar.mkv, 22, 2, 1.06952, 0, 1
../Data/Video_Data/Solo_Pillar.mkv, 23, 2, 1.19048, 0, 1
../Data/Video_Data/Solo_Pillar.mkv, 24, 2, 1.14943, 0, 1
../Data/Video_Data/Solo_Pillar.mkv, 25, 2, 1.23457, 0, 1
../Data/Video_Data/Solo_Pillar.mkv, 26, 2, 1.16959, 0, 1
../Data/Video_Data/Solo_Pillar.mkv, 27, 2, 1.31579, 0, 1
